launching ...
[LightGBM] [Warning] Starting from the 2.1.2 version, default value for the "boost_from_average" parameter in "binary" objective is true.
This may cause significantly different results comparing to the previous versions of LightGBM.
Try to set boost_from_average=false, if your old models produce bad results
[LightGBM] [Info] Number of positive: 1062, number of negative: 13288
[LightGBM] [Info] Total Bins 25500
[LightGBM] [Info] Number of data: 14350, number of used features: 100
[LightGBM] [Info] [binary:BoostFromScore]: pavg=0.074007 -> initscore=-2.526707
[LightGBM] [Info] Start training from score -2.526707
starting ...
621.2102
1483
learning a linear model ...
done.
0.8065758001600112
done.
lightGBR ...
start learning ...
[1]	valid_0's auc: 0.681113
[120]	valid_0's auc: 0.913483
[121]	valid_0's auc: 0.914425
[122]	valid_0's auc: 0.91436
[123]	valid_0's auc: 0.914143
[124]	valid_0's auc: 0.914435
[125]	valid_0's auc: 0.913892
[126]	valid_0's auc: 0.913892
[127]	valid_0's auc: 0.913306
[128]	valid_0's auc: 0.9133
[129]	valid_0's auc: 0.913183
[130]	valid_0's auc: 0.912801
[131]	valid_0's auc: 0.912791
[132]	valid_0's auc: 0.9128
[133]	valid_0's auc: 0.912841
[134]	valid_0's auc: 0.91271
[135]	valid_0's auc: 0.912442
[136]	valid_0's auc: 0.912973
[137]	valid_0's auc: 0.912931
[138]	valid_0's auc: 0.91276
[139]	valid_0's auc: 0.912837
[140]	valid_0's auc: 0.91305
[141]	valid_0's auc: 0.91356
[142]	valid_0's auc: 0.913595
[143]	valid_0's auc: 0.913226
[144]	valid_0's auc: 0.913547
Early stopping, best iteration is:
[124]	valid_0's auc: 0.914435
done.
done.
